,FEAT_A_probe,FEAT_Delta_t_angl[s],FEAT_Delta_t_anw[s],FEAT_F_angl[N],FEAT_F_anw[N],FEAT_T_Heiz[°C],FEAT_Thermocouple_0[°C],FEAT_WS0[µV],FEAT_WS_Int[µVs],FEAT_WS_angl[µV],FEAT_WS_anw[µV],FEAT_WS_delta_t_max[s],FEAT_WS_max[µV],FEAT_s0[mm],FEAT_s_angl[mm],FEAT_s_tot[mm],FEAT_t_angl[s],FEAT_t_anw[s],LABEL_weld_factor
35,403.0794,6.800001016445458,17.40000082645565,55.0198787689209,17.78829958065447,210,216.0236511230469,598.2896728515625,74023.72952926936,1184.165405273438,815.122802734375,0.800000037997961,3840.30908203125,25.04586410522461,16.37775802612305,16.42598533630371,20.00000094994903,132.8000063076615,1.0
36,394.0056,7.00000113043934,16.4000007789582,56.0475280380249,18.3492027585378,210,215.7290191650391,606.2918701171875,72185.67472828775,1166.154418945312,811.2659912109375,0.800000037997961,3914.95361328125,24.5723705291748,16.09718704223633,16.14011001586914,20.00000094994903,133.6000063456595,1.0
37,393.384,6.200001054443419,17.60000083595514,57.30320062824324,18.91402403657433,210,214.9943695068359,580.4700927734375,73971.42680889276,1147.906372070312,808.308837890625,0.800000037997961,3952.083984375,23.81364822387695,16.42703056335449,16.47482490539551,20.40000096894801,132.600006298162,1.0
38,402.7779,5.600000940449537,18.20000086445361,55.99933476717967,17.77271959532768,210,214.9079895019531,586.718994140625,73713.58362916813,1162.921752929688,800.5687866210938,0.800000037997961,3996.4990234375,24.59669494628906,16.39812469482422,16.44536209106445,21.20000100694597,132.2000062791631,1.0
39,404.8875,8.40000106394291,20.20000095944852,55.80723320169652,18.7289949129561,200,207.9525299072266,617.828125,74385.63648411076,1183.940673828125,792.0838623046875,0.800000037997961,3970.421142578125,22.33314514160156,16.18171501159668,16.20816230773926,18.80000089295208,144.6000068681315,1.0
40,402.435,7.600001196935771,18.00000085495412,56.33147513006151,19.9034205623295,200,206.2745666503906,566.4747314453125,70050.33672207304,1075.819580078125,759.6676635742188,0.800000037997961,3169.552978515625,23.51748085021973,16.28484535217285,16.32315635681152,19.40000092145056,147.2000069916248,1.0
41,405.625,7.0000010734424,17.20000081695616,56.27630882263183,19.23622261253563,200,205.7405242919922,553.1895751953125,74722.02129717292,1157.552368164062,754.514892578125,0.800000037997961,3161.313720703125,24.78762817382812,16.38019561767578,16.43170356750488,20.00000094994903,148.0000070296228,1.0
42,396.165,7.400001063942909,17.40000082645565,55.99919470962213,18.31593433220106,200,205.6965789794922,560.1196899414062,72265.03586415156,1080.705322265625,755.3786010742188,0.800000037997961,3839.343017578125,24.37436294555664,16.39689636230469,16.45833015441895,19.60000093095005,147.8000070201233,1.0
43,405.405,7.200001016445459,18.4000008739531,56.40033124673246,18.35826362381189,200,204.7200012207031,530.952392578125,74525.26701832183,1083.1103515625,741.1923828125,0.800000037997961,3633.9638671875,23.93224906921387,16.38516426086426,16.44801712036133,19.80000094044954,146.8000069726259,1.0
44,416.0709,3.400001225434245,2.000000094994903,53.4361613645392,17.49584588251616,210,217.7628784179688,360.9598999023438,30794.92212966492,848.89794921875,670.9675903320312,1.200000056996942,1600.996948242188,16.30801582336426,10.39597225189209,10.42349624633789,23.60000112093985,30.40000144392252,0.0
45,401.1532,12.80000114943832,2.600000123493373,54.96205352334415,17.2964319190723,210,217.7694396972656,340.6790161132812,38004.29382034626,914.1236572265625,672.8123779296875,1.000000047497451,2524.72412109375,16.5112133026123,10.216383934021,10.26793670654297,13.60000064596534,29.80000141542405,1.0
46,400.5533,11.20000148192048,2.600000123493373,55.34446184258712,18.26927560084575,210,217.95654296875,359.3406982421875,36399.99168906509,905.4395141601562,697.5139770507812,0.800000037997961,2540.45263671875,15.23482036590576,10.1105899810791,10.15429782867432,15.20000072196126,29.60000140592456,1.0
47,412.3944,7.400001272931696,2.000000094994903,56.23096233167146,18.6007890450327,210,218.0847625732422,343.5517883300781,33883.64572946628,867.1229858398438,682.3123168945312,1.000000047497451,2149.620849609375,17.67886352539062,10.42349529266357,10.45571613311768,19.00000090245157,30.40000144392252,0.0
48,403.7075,9.200001329928636,12.60000059846789,54.22257383479629,17.51614079330907,210,217.9980316162109,323.9177856445312,38322.81804710632,886.5994262695312,673.3156127929688,1.000000047497451,2585.524658203125,16.90328407287598,10.3401985168457,10.387038230896,17.20000081695616,19.80000094044954,1.0
